市场,代码,名称,板块,细分行业,货币,最新价,今日最高,今日最低,今开,成交量,成交额,昨收,总股本,市盈率(动),市盈率(静),市盈率TTM,市净率,换手率%,涨跌幅%,涨跌额,总市值,流通市值,52周最高(前复权),52周最低(前复权)
港股,00168,青岛啤酒股份,必选消费,啤酒,HKD,40.92,41.42,40.62,40.98,2304000.0,94006280.0,41.48,1364195121.0,10.51,12.17,10.51,1.55,0.35,-1.35,-0.56,55822864351.0,26805430764.0,53.05,40.8
港股,00506,中国食品,必选消费,软饮料,HKD,3.815,3.91,3.68,3.68,6948000.0,26761068.0,3.76,2797223396.0,10.28,12.38,10.28,1.31,0.25,1.46,0.055,10671407256.0,10671407256.0,4.803,3.09
港股,01458,周黑鸭,必选消费,卤味及辣味零食,HKD,1.245,1.25,1.22,1.22,62000.0,76247.0,1.24,2081065000.0,16.15,16.54,16.15,0.66,0.0,0.4,0.005,2590925925.0,2590925925.0,2.5,1.18
港股,09985,卫龙美味,必选消费,卤味及辣味零食,HKD,7.745,8.13,7.695,8.13,1852200.0,14373903.0,8.035,2430337978.0,11.36,13.21,11.36,2.18,0.08,-3.61,-0.29,18822967640.0,18822967640.0,13.897,7.03
港股,01929,周大福,可选消费,黄金珠宝,HKD,12.65,13.47,12.62,13.24,13313250.0,171624787.0,13.6,9866331200.0,13.86,15.7,13.86,4.03,0.13,-6.99,-0.95,124809089680.0,124809089680.0,15.96,10.07
港股,00116,周生生,可选消费,黄金珠宝,HKD,14.11,14.9,14.03,14.9,2616000.0,37559805.0,15.2,671712000.0,3.19,6.11,3.19,0.58,0.39,-7.17,-1.09,9477856320.0,9477856320.0,16.6,9.61
港股,00590,六福集团,可选消费,黄金珠宝,HKD,21.76,23.82,21.7,23.82,1845000.0,40804790.0,23.86,587107850.0,6.24,7.07,6.24,0.85,0.31,-8.8,-2.1,12775466816.0,12775466816.0,32.46,19.0
港股,06181,老铺黄金,可选消费,黄金珠宝,HKD,383.0,409.0,374.6,390.0,1412748.0,552039872.0,409.6,176744500.0,8.66,13.91,8.66,4.45,0.98,-6.49,-26.6,67693143500.0,54976417480.0,835.85,287.6
港股,09992,泡泡玛特,可选消费,潮流玩具,HKD,157.3,158.5,155.7,156.6,3110322.0,489118224.0,158.7,1331779203.0,14.03,16.4,14.03,7.89,0.23,-0.88,-1.4,209488868632.0,209488868632.0,332.675,139.075
港股,09896,名创优品,可选消费,潮流零售,HKD,18.81,20.48,18.58,20.24,14416200.0,274793264.0,21.24,1214041449.0,15.77,18.95,15.77,1.96,1.19,-11.44,-2.43,22836119656.0,22836119656.0,49.663,18.84
港股,00178,莎莎国际,可选消费,美妆零售,HKD,0.955,0.96,0.9,0.92,4424200.0,4129154.0,0.917,3103189458.0,14.78,16.74,14.78,2.31,0.14,4.14,0.038,2963545932.0,2963545932.0,0.96,0.527
港股,02020,安踏体育,可选消费,运动服饰,HKD,77.95,78.15,76.4,77.0,2748544.0,212702717.0,77.4,2796653300.0,11.94,16.04,11.94,2.64,0.1,0.71,0.55,217999124735.0,217999124735.0,101.95,67.55
港股,02331,李宁,可选消费,运动服饰,HKD,13.56,13.65,13.36,13.65,13563540.0,183186951.0,13.65,2584813753.0,10.2,11.94,10.2,1.06,0.52,-0.66,-0.09,35050074491.0,35050074491.0,22.731,13.57
